metric,slope,r_value,p_value,std_err
Distance_Total,0.3760708795404859,0.05070221492004671,0.3484673263893281,0.40056295164198724
Jump Height(M),1.140821973555865e-05,0.06367836125580283,0.39178107422400177,1.328937033301508e-05
Peak Propulsive Power(W),-0.4831588547990752,-0.2754566734687722,0.00016061749853493352,0.12533212203630678
Peak Velocity(M/S),4.532286578814631e-05,0.06253539709749628,0.4003535338214915,5.3765205001349844e-05
Speed_Max,0.0007639153217519545,0.12141633726514213,0.024109871988822754,0.0003372065751118287
