metric,best_date,best_value,worst_date,worst_value
Distance_Total,2024-12-01 19:45:03,8259.075417,2023-12-10 14:20:59,3.711586
Jump Height(M),2023-07-18 16:26:42,0.3696,2023-07-27 16:30:30,0.1209
Peak Propulsive Power(W),2023-09-26 20:34:34,4318.5141,2023-07-27 16:30:30,1896.4584
Peak Velocity(M/S),2024-11-02 16:27:15,2.8085,2023-07-27 16:30:30,1.7681
Speed_Max,2024-09-05 11:50:00,7.988296,2024-11-21 14:00:00,0.493508
