metric,slope,r_value,p_value,std_err
Distance_Total,-0.5408931303360034,-0.11676504495480197,0.013398033433358741,0.21784631383080982
Jump Height(M),2.0223096890505574e-05,0.10373704137723018,0.11195468832339912,1.2675246359654827e-05
Mrsi,0.00011260640253123195,0.33037811831193037,2.0469209939559626e-07,2.1030337635094393e-05
Peak Propulsive Power(W),0.570024750937019,0.3051469961436218,1.7766662098648897e-06,0.11629281129458668
Peak Velocity(M/S),8.784088276358663e-05,0.10252217644740828,0.11623961791142938,5.571555686389172e-05
Speed_Max,-8.19648378593816e-05,-0.01773807093382793,0.7077759343345675,0.00021852397985330525
