metric,best_date,best_value,worst_date,worst_value
Distance_Total,2025-01-26 16:55:00,7241.551149,2025-07-02 17:20:00,0.069524
Jump Height(M),2024-02-26 17:37:45,0.3851,2023-07-27 16:38:19,0.0841
Peak Propulsive Power(W),2024-02-26 17:37:45,4554.8478,2022-06-16 15:59:55,1755.2897
Peak Velocity(M/S),2024-02-26 17:37:45,2.9025,2023-07-27 16:38:19,1.5315
Speed_Max,2024-11-21 14:30:06,7.455508,2025-07-02 17:20:00,0.068057
